Transect_id,Species,TL_cm
1,redband parrotfish,18
1,redband parrotfish,7
1,redband parrotfish,9
1,redband parrotfish,4
2,redband parrotfish,14
2,redband parrotfish,4
2,redband parrotfish,5
2,redband parrotfish,2
2,redband parrotfish,4
2,redband parrotfish,5
2,redband parrotfish,15
2,redband parrotfish,7
2,redband parrotfish,16
7,redband parrotfish,4
7,redband parrotfish,2
7,redband parrotfish,3
7,redband parrotfish,10
8,redband parrotfish,2
8,redband parrotfish,8
8,redband parrotfish,7
8,redband parrotfish,5
8,redband parrotfish,6
8,redband parrotfish,3
8,redband parrotfish,4
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,9
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,12
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,18
9,white grunt,12
9,white grunt,12
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,white grunt,17
9,redband parrotfish,4
9,redband parrotfish,5
10,white grunt,9
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,10
10,white grunt,12
10,white grunt,15
10,white grunt,12
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
10,white grunt,15
