"daylength","temp_range","growth","species"
"short","average",132.948450611396,"A"
"average","average",131.254201964289,"A"
"long","average",125.815313497621,"A"
"short","above",123.122901759479,"A"
"average","above",106.333609934822,"A"
"long","above",100.300518258464,"A"
"short","below",106.509591572352,"A"
"average","below",104.65164543343,"A"
"long","below",100.82957008088,"A"
"short","average",140.240340649575,"A"
"average","average",135.633317049476,"A"
"long",NA,132.259793749713,"A"
"short","above",106.821251036423,"A"
"average","above",105.270566544637,"A"
"long","above",109.932181314012,"A"
"short",NA,108.895036823503,"A"
"average","below",111.735714913846,"A"
"long","below",109.396040800094,"A"
"short","average",131.064888556107,"A"
"average","average",135.084916775232,"A"
"long","average",124.001387764756,"A"
"short","above",104.953201839439,"A"
"average",NA,102.929896744271,"A"
"long","above",113.497087674836,"A"
"short","below",108.560599022327,"A"
"average","below",108.556404202201,"A"
"long","below",104.990719163242,"A"
"short","average",134.343601513979,"A"
"average","average",132.956049960342,"A"
"long","average",133.544030479048,"A"
"short","above",110.22697926977,"A"
"average","above",110.321820572878,"A"
"long","above",108.501968751579,"A"
"short","below",109.355070422453,"A"
"average","below",104.688445286054,"A"
"long","below",104.720504420266,"A"
"short","average",135.10248131241,"A"
"average","average",133.159206821113,"A"
"long","average",131.970924164532,"A"
"short","above",115.362843947764,"A"
"average","above",102.295866239908,"A"
"long","above",106.418418532309,"A"
"short","below",114.167828580892,"A"
"average","below",114.637136577088,"A"
"long","below",103.861675832485,"A"
"short","average",136.572289969125,"A"
"average","average",138.199068358057,"A"
"long","average",135.529327116494,"A"
"short","above",111.707205913276,"A"
"average","above",117.290109525787,"A"
"long","above",102.948450611396,"A"
"short","below",106.254201964289,"A"
"average","below",105.815313497621,"A"
"long","below",118.122901759479,"A"
"short","average",131.333609934822,"A"
"average","average",130.300518258464,"A"
"long","average",126.509591572352,"A"
"short","above",104.65164543343,"A"
"average","above",105.82957008088,"A"
"long","above",110.240340649575,"A"
"short","below",110.633317049476,"A"
"average","below",112.259793749713,"A"
"long","below",101.821251036423,"A"
"short","average",130.270566544637,"A"
"average","average",139.932181314012,"A"
"long","average",128.895036823503,"A"
"short","above",111.735714913846,"A"
"average","above",114.396040800094,"A"
"long","above",101.064888556107,"A"
"short","below",110.084916775232,"A"
"average","below",104.001387764756,"A"
"long","below",99.953201839439,"A"
"short","average",127.929896744271,"A"
"average","average",143.497087674836,"A"
"long","average",128.560599022327,"A"
"short","above",108.556404202201,"A"
"average","above",109.990719163242,"A"
"long","above",104.343601513979,"A"
"short","below",107.956049960342,"A"
"average","below",113.544030479048,"A"
"long","below",105.22697926977,"A"
"short","average",135.321820572878,"A"
"average","average",138.501968751579,"A"
"long","average",129.355070422453,"A"
"short","above",104.688445286054,"A"
"average","above",109.720504420266,"A"
"long",NA,105.10248131241,"A"
"short","below",108.159206821113,"A"
"average","below",111.970924164532,"A"
"long","below",110.362843947764,"A"
"short","average",94.262508619793,"B"
"average","average",73.4134243274462,"B"
"long","average",75.875029076777,"B"
"short","above",93.9321962730949,"B"
"average","above",66.9955029022984,"B"
"long",NA,91.0174848342703,"B"
"short","below",105.736715856012,"B"
"average","below",73.7355555935926,"B"
"long","below",77.877621869946,"B"
"short","average",98.2150655809285,"B"
"average","average",82.3456757529708,"B"
"long","average",70.9569518749179,"B"
"short","above",92.494105465146,"B"
"average","above",68.4083715411499,"B"
"long","above",69.0193873401627,"B"
"short","below",94.4146313607677,"B"
"average","below",83.8299940594065,"B"
"long","below",78.4208947560833,"B"
